,gw,pw,model,pw_gw
0,5.265994549973539,8.234781012051291,ACCESS-CM2,1.5637655781646547
1,4.399580475971987,7.670145235200917,ACCESS-ESM1-5,1.7433810512367938
2,3.751094939150107,6.4703638318028425,BCC-CSM2-MR,1.7249267045394605
3,2.776618280178127,4.30026295185688,CAMS-CSM1-0,1.548741136855516
4,4.643256573448298,6.860219372852399,CAS-ESM2-0,1.4774586035330115
5,5.1833339163882215,6.85788098664483,CESM2-WACCM,1.3230637071175693
6,4.962404715503794,5.763695037437742,CESM2,1.1614721829177932
7,5.35794767734518,7.311268730985432,CIESM,1.3645651602570532
8,4.676869503598368,7.560134550440694,CMCC-CM2-SR5,1.6164946540894396
9,4.679908643854333,7.230873445179782,CMCC-ESM2,1.5450885894269286
10,5.099827360995495,8.006793879772323,CNRM-CM6-1,1.5700127304327773
11,4.704434640839338,7.646405936399878,CNRM-ESM2-1,1.625361285715652
12,6.536244696517623,11.365489055770801,CanESM5,1.7388408150977122
13,6.5276045632485165,11.598284243172692,E3SM-1-0,1.776805584773461
14,5.070578370300723,9.220057542199498,EC-Earth3,1.8183443522346507
15,3.2133667887406716,5.4196656430278765,FGOALS-g3,1.6866003787733987
16,4.228524144689397,6.973666685768606,GISS-E2-1-H,1.6491963737576936
17,5.810316929708321,9.402655726679242,HadGEM3-GC31-LL,1.6182689929706222
18,5.627313063112808,8.482680587177391,HadGEM3-GC31-MM,1.5074122395609364
19,3.114214009651789,5.121961081757036,IITM-ESM,1.644704270767101
20,3.3088090302791784,4.572686481574522,INM-CM4-8,1.381973525739775
21,3.218083073268133,4.7955910137595765,INM-CM5-0,1.490201124264142
22,5.212804957203438,8.142571144238413,IPSL-CM6A-LR,1.5620325738423053
23,5.062295522205564,4.624320883906222,KACE-1-0-G,0.91348299671993
24,4.0697934012408155,8.4758405166194,MCM-UA-1-0,2.08262181417741
25,3.7348749140862596,5.975163044685789,MIROC-ES2L,1.5998294941954214
26,3.492902371815384,6.063303660132071,MIROC6,1.7358926802700068
27,3.391917662674132,6.076257392021461,MPI-ESM1-2-HR,1.791392951216581
28,3.523302062634838,6.264747445549327,MPI-ESM1-2-LR,1.778089795929773
29,4.061271062888049,7.075855762300161,MRI-ESM2-0,1.7422761624948968
30,4.559245811958192,8.585621760843338,NESM3,1.883123243393587
31,3.4488047017184726,5.059576664200534,NorESM2-LM,1.4670522403543016
32,3.546110453141182,4.132403534567999,NorESM2-MM,1.1653341285259382
33,5.435023532058381,7.491520938909304,TaiESM1,1.3783787493689241
34,6.219338823373528,10.337821159548344,UKESM1-0-LL,1.6622058153025414
